trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.6, 'e': 0.9900759580132933}",20,0,-100.21602966894345,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
142,False,"{'a': 0.6, 'e': 0.9899349297380738}",25,0,-98.29316058907712,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
143,False,"{'a': 0.6, 'e': 0.9897929115280072}",25,0,-159.5557641650341,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
144,False,"{'a': 0.6, 'e': 0.9896499035251115}",25,0,-49.24502754103282,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
145,False,"{'a': 0.6, 'e': 0.9895059058723947}",20,0,-158.68544074281212,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
146,False,"{'a': 0.6, 'e': 0.9893609187138546}",25,0,-148.73274971737993,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
147,False,"{'a': 0.6, 'e': 0.9892149421944781}",35,0,-220.09495361245024,"{0: 18, 1: 6, 2: 7, 3: 1, 4: 3}",0
148,False,"{'a': 0.6, 'e': 0.989067976460242}",20,0,-175.14992342194185,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
149,False,"{'a': 0.6, 'e': 0.9889200216581118}",25,0,-61.286037119859174,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
150,False,"{'a': 0.6, 'e': 0.9887710779360422}",25,0,-92.30183969551256,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
151,False,"{'a': 0.6, 'e': 0.9886211454429773}",30,0,-243.06244733873305,"{0: 14, 1: 4, 2: 7, 3: 2, 4: 3}",0
152,False,"{'a': 0.6, 'e': 0.9884702243288492}",20,0,-165.25087116859768,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
153,False,"{'a': 0.6, 'e': 0.9883183147445792}",30,0,-153.95985781178902,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
